sample_index,noisy_mse,denoised_mse,noisy_mae,denoised_mae,noisy_snr,denoised_snr,snr_improved,noisy_si_sdr,denoised_si_sdr,si_srd_improved
0,0.00040974063,0.0031134551,0.016170228,0.018580832,12.290258,3.482923,-8.807335,12.297199,0.90919966,-11.388
1,0.00081621954,0.00012432788,0.022815809,0.007665831,9.792996,17.965382,8.172385,9.790354,17.922432,8.132078
2,0.0010810235,0.00026919643,0.02616055,0.010127851,7.9379325,13.975591,6.037658,7.921579,13.799652,5.878073
3,0.00047249813,0.00026379572,0.017395444,0.01089111,11.317093,13.848417,2.5313244,11.401014,13.67543,2.274416
4,0.0014141137,0.00034529512,0.030019524,0.012778621,11.430961,17.5539,6.122939,11.4456415,17.47999,6.0343485
5,0.0010291409,0.00024492567,0.025561122,0.0109304,9.395572,15.629978,6.2344065,9.516763,15.554657,6.0378942
6,0.00033767242,0.00088993064,0.014691855,0.012333873,9.894086,5.68548,-4.208606,9.939392,4.316384,-5.6230083
7,0.0016381158,0.0003694265,0.032258768,0.012742979,8.653891,15.122057,6.4681664,8.67295,14.990549,6.3175993
8,0.00078275776,0.00020737026,0.022359738,0.007179571,6.4591484,12.227957,5.7688084,6.4224215,11.96252,5.540098
9,0.0012323943,0.00027557666,0.02799948,0.009854753,12.720443,19.225515,6.5050726,12.716742,19.492786,6.776045
10,0.00031316024,0.00055266876,0.014129528,0.012244891,11.957536,9.490553,-2.4669828,11.94295,8.972334,-2.9706163
11,0.0015524856,0.00036026663,0.031418663,0.013687252,11.621376,17.965412,6.344036,11.80106,17.978882,6.177822
12,0.0011864017,0.00019982761,0.027516987,0.009309312,10.387497,18.12326,7.7357635,10.386593,18.065945,7.679352
13,0.0006133302,0.0006440937,0.019722097,0.013215232,5.792671,5.5801244,-0.21254683,6.2713165,4.2149615,-2.056355
14,0.0006120182,0.0011546467,0.019774863,0.009768732,8.2629385,5.5060906,-2.7568479,8.250691,4.0714054,-4.179286
15,0.0013493835,0.0001418184,0.02932781,0.007588947,4.6937976,14.477825,9.784027,4.7462444,14.326959,9.580714
16,0.0015457973,0.00062178384,0.03133695,0.015970623,12.925242,16.880373,3.9551306,12.931419,16.796934,3.8655148
17,0.00040819906,0.0066584107,0.016119333,0.025187213,13.687526,1.5625403,-12.124986,13.696228,-3.6335864,-17.329815
18,0.00016898003,2.9958583e-05,0.010365174,0.003676255,10.609841,18.122982,7.5131407,10.608877,18.091452,7.4825745
19,0.0038706902,0.00050373323,0.049467903,0.014711216,4.5363154,13.392193,8.855877,4.5554724,13.20942,8.653948
20,0.0005700822,0.0005660949,0.019044971,0.013139556,7.7432923,7.7737756,0.030483246,7.720068,6.980848,-0.73922014
21,0.0011902099,0.00034966515,0.027497623,0.012459866,10.899917,16.21963,5.3197126,10.893894,16.117455,5.2235603
22,0.0012774162,0.00036079806,0.02855825,0.013161006,11.398625,16.889307,5.4906816,11.404309,16.79983,5.39552
23,0.0031906809,0.00042140816,0.045109183,0.012066767,4.6400247,13.431829,8.791805,4.657646,13.232236,8.57459
24,0.0002079666,0.00058613194,0.011490506,0.013184029,9.681265,5.1812477,-4.500017,9.723103,3.610482,-6.1126204
25,0.0019976608,0.0006323551,0.035692275,0.017217187,10.675655,15.671263,4.9956074,10.649731,15.564001,4.9142704
26,0.0017165849,0.00016700463,0.033031937,0.008991948,7.403124,17.522491,10.119368,7.9209476,18.208712,10.287764
27,0.00049346744,0.000861159,0.01771995,0.017088458,10.300507,7.8822575,-2.4182491,10.508446,7.1249175,-3.3835282
28,0.0014480379,0.0005689727,0.030430736,0.015637416,11.380743,15.437628,4.056885,11.373101,15.315489,3.9423876
29,0.0016506446,0.00025160663,0.032513108,0.011624567,11.143437,19.312752,8.169314,11.140682,19.268425,8.127743
30,0.001381021,0.00017899403,0.029607486,0.009598395,8.966691,17.840307,8.873616,8.978682,17.77089,8.792208
31,0.00093019154,0.00016989511,0.024314437,0.00815973,11.653,19.036915,7.383915,11.648997,18.985579,7.336581
